东西征南北剿博古通今,0,东西战南北剿博古通呃今。
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6410646.142975527,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6410980.676160287,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6423941.889275918,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,6425210.739407292,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,6446365.007835372,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,6448775.362484107,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,6464842.139132069,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6467797.4601098,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,6475765.048778988,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,6479343.881899569,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,6495221.230456005,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,6496278.791525057,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,6518918.4595604045,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6529621.797601092,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6542133.128817723,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6543835.693441688,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6544321.210868404,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,6558890.974037346,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6560768.329063818,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6566530.212181428,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,6567897.272807564,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,6570941.317019127,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6595970.449322625,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6601833.851079502,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,6629546.191058284,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,6631899.231454723,0.1
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6699102.320816641,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,6704833.847246476,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,6713557.004241823,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,6723744.988702843,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6730581.63649217,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6733409.578657937,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6737072.549332203,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6737956.3195090825,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,6742848.544862656,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6781588.707043851,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6793572.991644281,0.0
