尊一声过往的宾朋听从头,0,尊一声过往的宾朋听从头：
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,4936230.288543241,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4940192.338548294,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4945613.623481089,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4949356.969743529,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,4960150.837251998,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,4967842.580754048,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,4991049.745692773,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,5017809.431704701,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,5018888.707590521,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5025627.908313654,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5042828.812429459,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,5045236.468634945,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5052902.213002484,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,5053512.507715868,0.09090909090909091
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5053999.061894236,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,5067421.665926125,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,5089701.355139274,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5091990.613689541,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5105946.193528704,0.09090909090909091
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,5108576.549513538,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5129093.432916884,0.18181818181818182
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,5133912.490167481,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,5148649.977730709,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5212054.6871692045,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5225154.236630556,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5230593.760022942,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,5236342.786292853,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,5236373.495802814,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,5278480.85296559,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5279888.860669022,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5289833.463154359,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,5302204.349194978,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,5304245.825275209,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,5310414.832265077,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,5314152.1458603265,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,5323347.410597065,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5323452.754844095,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,5325938.562183059,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5327492.371488677,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,5336979.814614126,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,5336979.814614126,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,5344401.659686792,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5377983.834174805,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,5384077.272807622,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,5393804.3488031905,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5404544.775965103,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,5405075.481857661,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5405588.498873542,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,5406551.155852191,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5408854.899017223,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,5435534.092826502,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,5438597.382641642,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5442406.738308009,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5443626.764905828,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,5450034.701931545,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5458685.23981438,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,5459354.457010578,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5479822.507725882,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5480015.037341148,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5484025.844806956,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,5504392.900397908,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5524629.7611828465,0.36363636363636365
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5531274.456984875,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5558425.08475445,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,5559964.182022951,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5565336.187804282,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5569681.111086933,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,5570609.4209450055,0.0
