老军报他二人在洪羊洞丧命,0,老军报他二人在洪洋（呃）洞丧（呃）命，
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8282352.701715381,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,8296711.190969579,0.0
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,8308094.447035461,0.08333333333333333
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8308637.021069579,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8355697.578076214,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8389785.250153612,0.08333333333333333
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,8390218.029077174,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8399792.687255371,0.08333333333333333
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8399792.687255371,0.08333333333333333
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8414636.170507327,0.08333333333333333
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,8439427.58125584,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8447515.456349732,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8450267.503502976,0.08333333333333333
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,8489709.787771141,0.16666666666666666
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,8497649.558938384,0.25
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,8509886.688435797,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,8519415.330753477,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8520098.710166875,0.08333333333333333
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8559358.474637505,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8569000.702654786,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,8571132.933269396,0.08333333333333333
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,8586809.325683348,0.08333333333333333
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,8592992.066924224,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,8600741.576651918,0.08333333333333333
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8610909.134862259,0.16666666666666666
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8613751.251319895,0.08333333333333333
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,8618062.393692592,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8647577.434381777,0.0
