左手拉住了李左车,0,左手拉住了李左车，
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,5978441.175377056,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,5982153.810568822,0.125
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5996716.9324435955,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6007629.575049733,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6031951.209835217,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,6032024.580570101,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6043335.857521606,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,6061128.824942074,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,6068570.186245047,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6070454.954200541,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6092475.350267155,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6114045.598470333,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6137633.624159242,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6143475.409158997,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6155548.636079037,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,6158217.193077093,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6187426.898363758,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,6195030.955453156,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,6199789.532832194,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,6200243.623265777,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6202922.228576083,0.0
