因此上发配到登洲,0,因此上发配到登州。
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,3778455.0988083626,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,3783421.864399947,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,3786088.520055991,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,3789311.743703774,0.125
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,3800284.559206847,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,3800308.7205974977,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,3810660.093987954,0.125
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,3811132.014806174,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,3814107.6816628636,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,3817604.5013602385,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,3822905.7560623414,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,3832392.3615250476,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3837793.308415721,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,3838235.5454904432,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,3838365.343821327,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,3848159.2223399375,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,3869587.603908521,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,3890609.5322686224,0.125
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,3894540.8136835666,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,3905220.72348672,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,3915246.17000931,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,3917566.126016675,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,3919088.692312354,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,3931707.8014637507,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,3936604.5932608587,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,3957149.233058786,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,3966172.2678220146,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,3983338.0612757294,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,3989536.7294683023,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4006662.5924518737,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,4015432.131655767,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,4047218.355210948,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4058513.9296815875,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,4062284.4846654176,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,4065182.1397709027,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4067652.5016568406,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,4068930.288126565,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,4072275.9044071105,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4078014.4669233435,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,4089038.319587967,0.0
