杨林与我来争斗,0,杨林与我来争斗，
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,10531269.889408285,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,10537902.850249553,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,10537902.850249553,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,10557181.37905465,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,10585934.183236144,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,10668141.009904109,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,10671587.019883968,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,10694328.8227725,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,10744965.024860952,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,10913708.760739464,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10929378.62759027,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,10946461.542918125,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,10947940.119251693,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,11028768.52050298,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,11063142.253643684,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,11069919.99803641,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,11069919.99803641,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11123911.178104881,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,11130022.675357696,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,11201458.171311557,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,11202908.965666806,0.14285714285714285
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,11206248.173123216,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,11214718.61427068,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,11220883.454603862,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,11255116.371340288,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,11265639.929449033,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11384194.302855019,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,11440520.208137717,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,11526677.11906246,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,11724614.413848367,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,11777972.09108738,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,11913987.106002131,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,11954727.00784887,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,12020028.164538391,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,12027783.72449201,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,12034300.983709361,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,12046786.79317418,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,12073289.117475282,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,12079680.451665364,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,12093293.698442146,0.0
