实难舍街坊四邻与我的 好朋友,0,实难舍街坊四邻与我的好朋友，
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,5989819.698446669,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6004385.826636747,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6006732.165046833,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6019896.468383419,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6024234.042661769,0.07142857142857142
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,6027866.877911968,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,6038871.948943018,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6043958.378853889,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,6058281.391310867,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6066910.826903037,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,6069162.264051049,0.07142857142857142
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6075324.806990893,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,6107310.904948598,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,6118124.523064265,0.07142857142857142
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,6138742.330092977,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6142212.778018871,0.07142857142857142
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,6147967.081261936,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,6152504.09502918,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,6170429.635984112,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6183506.891550422,0.07142857142857142
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6199873.375755995,0.07142857142857142
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6204576.669057153,0.07142857142857142
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6211056.20065591,0.07142857142857142
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6212145.254305386,0.0
