娘生儿，连心肉,0,娘生儿连心肉，
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,11567259.391370459,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,11574983.869455488,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,11580837.513531825,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,11582211.766539814,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,11690306.370988717,0.14285714285714285
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,11699828.926883828,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,11765108.58477553,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,11793285.230104499,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,11800133.908422153,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11804416.858985651,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,11804978.124370344,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11814527.42329465,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11822794.303411992,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,11859356.9395659,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,11864754.435445588,0.2857142857142857
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,11870981.640317,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,11996839.256885678,0.2857142857142857
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,12005964.538887877,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,12010352.180902759,0.14285714285714285
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,12030306.843609285,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,12042701.252064858,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,12083958.088724457,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,12085073.350250874,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,12134592.490622059,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,12145646.324768445,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,12155548.561380742,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,12157011.16952395,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,12223841.467896964,0.14285714285714285
