他将我隐藏在后花园,2,他将我隐藏在后花园。
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7577757.7022307115,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7600665.111073349,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,7603455.573464254,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7607947.5276801055,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,7626587.122879309,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7629829.8041454265,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7636944.952826975,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7638186.1134548215,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7652192.859388734,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7667038.682273815,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7669491.988424219,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7691279.55600072,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,7711284.604670014,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7711524.9851725055,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7725396.818708182,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7728485.505234,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7737189.979660724,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,7738303.966682476,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7744418.155140087,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7765650.510977788,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7788571.109570353,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7794687.031749472,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7817659.841167025,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7824108.224033736,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7824470.066619511,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7834348.152234112,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,7837235.322621574,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7838486.107465152,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7857046.416788536,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7859627.038212487,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7869212.662228238,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7871920.615965422,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,7880940.295606028,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,7889047.337980817,0.1111111111111111
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7897444.485196489,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7910569.107135606,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7918562.308211568,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,7931924.432256018,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7935319.993261599,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,7935764.503060848,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7939910.884102231,0.0
