啊、生死二字且由他,0,（啊）生死二字（喏）且由他。
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6991145.125973903,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,6992608.962005843,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6994792.166724277,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,7005999.925867894,0.1111111111111111
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7006307.337408701,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,7008306.147096717,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,7025981.795056817,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,7028697.994672865,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7033736.1002614,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,7040996.216546194,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7041902.411282493,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7062676.826388101,0.2222222222222222
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,7097695.863543676,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7108543.758795184,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,7112946.938575001,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,7124641.359891323,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,7153960.2425221065,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7168327.88035611,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7170393.258785658,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7172050.8689299775,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7186692.179270738,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7211143.511948836,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,7226846.972165619,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7230650.922986988,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7236717.122989996,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7249048.254329591,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7286346.692887737,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,7300954.6370617505,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,7303206.030527701,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7316222.950241873,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,7321706.972497955,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,7326297.795652581,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,7330590.875107331,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7336996.31679774,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7355392.864689019,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,7365335.410274902,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7368016.507032864,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,7371542.6579450695,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7374007.723571282,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7383423.259945122,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7427317.998065607,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7429518.5286781415,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,7441489.5074978145,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,7441617.452928325,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,7444223.9033611845,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7483805.237062348,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7491919.27579359,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7502519.217459654,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,7509515.1767761195,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7528789.991567557,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,7537755.9264254,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7546597.323927276,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7559111.635935881,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7569856.735201093,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,7578190.492047481,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,7586235.297442353,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,7590014.930238432,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,7623381.458511445,0.7777777777777778
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,7623586.670400358,0.1111111111111111
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,7634546.331317997,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,7636430.34103715,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7637218.792362404,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,7658736.262462064,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,7669604.928264269,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,7683120.93369652,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,7683120.93369652,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7684567.791401357,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7689318.405923267,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7691889.803992372,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,7692805.966194802,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,7705827.291667738,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,7709141.412447913,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7718647.723869674,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,7724440.93762894,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7756052.591568204,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,7760171.807768196,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7766567.223791434,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7766567.223791434,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,7796187.373031897,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,7796994.14869749,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,7809062.87991846,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7822309.360384982,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,7828346.97921566,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7828372.670857912,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7832658.612816595,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7864908.736730336,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7877292.89029759,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7877292.89029759,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7878676.275182606,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,7881204.417922725,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7883732.398131109,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7892568.657640235,0.0
