二次里命孟良番营来进,1,二次（喏）里命孟良番营来进，
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8115336.320964106,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8136179.35964099,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8139568.635640584,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8175158.289663835,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,8175514.514278762,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8203863.127119534,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8221708.773368429,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,8228360.139760966,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8239736.384003459,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8270146.792749047,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8272604.898569916,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,8290132.16905149,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,8305011.42245347,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,8306665.008072686,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,8313480.641674488,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,8324865.2664871905,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8347591.53036796,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8363199.345802641,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8369230.596731053,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,8382173.935301689,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8384110.074835146,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8416158.314326173,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,8418742.593261648,0.2
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8420707.224273851,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8420875.89614802,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8435329.010010974,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,8435449.033950342,0.1
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8459792.823786974,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,8471553.85691015,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8493924.28654766,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8494014.70812597,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,8498540.900633985,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8513839.315208368,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8521589.852551263,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,8527439.743221503,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,8553427.501485363,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,8591553.535460772,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8593037.655414453,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,8594517.306058325,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,8620742.70061626,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8635592.671285199,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8655611.562672595,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,8656241.128311822,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8673875.459215673,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8675193.133793501,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,8686124.300418533,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8689399.25070577,0.1
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,8703900.111201685,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8704828.494715344,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,8709431.120977672,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8714068.213125085,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8717291.596104963,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8742404.948244901,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,8785107.694690248,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8799124.182138756,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,8809744.36324917,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8832063.09817243,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8858371.567736726,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,8887088.289415749,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,8898313.787282905,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8916616.020627014,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8920765.481256614,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8940837.494796518,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8969246.061871387,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8985490.629005017,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8998746.324040955,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,9011991.381102612,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,9024532.698565746,0.1
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9029038.476050781,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9040042.076255452,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,9062267.320119565,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,9062447.646461545,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,9065989.677131334,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,9069298.190039042,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,9072550.577997591,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9075559.871084426,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,9096820.433128202,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,9103293.460130237,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,9112596.297144687,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,9113058.540853322,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9151399.395109316,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,9184356.07998354,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,9190681.453723826,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,9192569.3821928,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9193385.207760938,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,9195275.161082128,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,9205448.736227743,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9220738.983991284,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9222227.269272942,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9230005.054412453,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,9242588.641710103,0.1
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,9247228.234884975,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9250038.849722652,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,9274916.67476046,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9282831.456834644,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,9294096.896163432,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9307763.589205308,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,9331350.70920008,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,9334418.314545928,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,9334591.777693233,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,9341839.138889715,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9344372.977098867,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,9365866.037956553,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,9365992.928279664,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,9370207.847902527,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,9370381.168901429,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,9375687.75915507,0.1
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9377849.57632267,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9433334.32335937,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9442452.930564184,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,9443952.356056407,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,9464874.932194138,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,9485242.879751954,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,9485242.879751954,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,9505849.329008251,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9514154.450867984,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,9563004.434829304,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9566180.168846099,0.1
