实指望到吴国借兵回转,0,实指（惹）望到吴国借兵回转，
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,6318119.656382853,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,6322645.392921725,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6324991.385075369,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,6325869.299573024,0.2
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,6341548.55851985,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6342099.441623349,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6353308.6064685555,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6362727.750809259,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6366460.946883007,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,6367702.613030452,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,6371710.986436638,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,6387534.812692611,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6401626.280201346,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6407142.902766854,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,6430305.467740789,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,6432316.851846648,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,6432799.306156719,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6433576.318582573,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6441218.798671895,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,6442893.027751892,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,6451840.269355879,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,6454814.764712272,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,6460031.874729852,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6482117.425116895,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6486086.8143080855,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6498825.582748738,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,6503680.434399106,0.1
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6505590.532499361,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6511067.269434647,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6512437.347698242,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,6520879.066054549,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6530242.951059183,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6530538.726054474,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6535177.228887397,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6538463.38534152,0.1
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,6547094.716255353,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6559034.945963961,0.1
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6562029.074655325,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,6567697.315582085,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6570170.132551697,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6596327.897558098,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6598031.9142478015,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6610450.6663658,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,6616476.549898214,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6624990.356109411,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6624990.356109411,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,6625795.685893631,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6628495.873819571,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6630552.034719779,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6637230.3432145035,0.1
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,6644816.209213921,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,6652203.147646665,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6654428.328926198,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,6654503.605639269,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,6662184.595929327,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,6663622.0669633765,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,6664089.782686929,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6664707.1602544645,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6668728.0190751925,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,6672904.324644041,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,6686969.1423503915,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,6686969.1423503915,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6690974.4472579,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6698087.346040594,0.0
