我好比鱼儿吞了钩线,0,我好（呃）比鱼儿吞了钩线，
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8144275.036787958,0.2222222222222222
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,8153201.340368074,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,8157078.373493104,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8161134.322112504,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8173321.904983836,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8181567.787505617,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8182386.226535123,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8221159.123802433,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,8221312.801506306,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,8236549.69772639,0.1111111111111111
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,8259920.8850932745,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8263840.085490028,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8264733.646097364,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8339172.328303803,0.1111111111111111
lseh-WeiKaiYan-RangXuZhou.xml_4,望使君放开怀慨然（呐）应（呐）允，,8381705.262640757,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,8387520.814485955,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,8388424.058453756,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8398941.741120713,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,8405904.194083614,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8407822.470587775,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,8423106.474664772,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,8447611.381729793,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8472357.03042366,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8485471.051802378,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8495069.738730649,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,8505883.186032377,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8530679.362445537,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8541655.673011977,0.1111111111111111
