诸葛亮怎比得前辈的先生,22,俺诸（喏）葛怎比得前辈呀的先哪生。
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10007134.645538958,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,10038345.125131512,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10040155.998152407,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,10073462.97282224,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,10075313.250939801,0.09090909090909091
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,10078391.001218146,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,10078959.1329002,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,10080558.671501793,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,10106261.018179609,0.09090909090909091
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,10108273.377585609,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,10126354.790063513,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10158336.237175468,0.09090909090909091
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,10170294.114884086,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,10185707.82555754,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,10218321.24751236,0.09090909090909091
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,10233278.22080162,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,10241288.059650637,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,10265479.339718856,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,10271101.923780283,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,10301795.618234709,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,10306756.73169626,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,10307150.387188125,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,10316671.804309342,0.18181818181818182
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,10342606.20491897,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,10353167.920817798,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,10383665.843630938,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,10384168.568358514,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,10390405.499613898,0.09090909090909091
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,10396024.601168325,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,10447509.13307221,0.09090909090909091
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,10481957.787224172,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,10483081.027238555,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10495177.0205543,0.09090909090909091
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10504332.339062309,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,10507421.52573758,0.09090909090909091
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,10508701.10805306,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10514173.805218758,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10566324.67365729,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10572884.27190408,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,10586495.442646412,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,10592015.57693127,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,10616337.404265173,0.18181818181818182
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10618654.431768322,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10626362.696458725,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10638209.170376787,0.18181818181818182
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,10655050.024558542,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10659306.857605863,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,10677047.69445035,0.09090909090909091
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,10679858.222309763,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10697011.852031555,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,10714792.627750602,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,10758633.780349292,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,10783277.669789406,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10788285.527303211,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,10792289.543702394,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10796431.017599467,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,10804298.166999254,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,10834222.496937124,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,10842881.310544947,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,10857673.704902083,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,10859127.093230939,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,10861302.106927734,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,10877327.723244641,0.09090909090909091
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10877799.379360212,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10897200.635771494,0.09090909090909091
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10901388.86719118,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10908179.233342461,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,10926214.697267273,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,10927324.530614987,0.09090909090909091
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10939135.02656591,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,10966928.233150575,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,10980454.480661571,0.09090909090909091
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,10986089.490853764,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10987457.495286377,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,10992431.743607074,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11000884.027118366,0.2727272727272727
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,11005960.867525985,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,11035120.23847858,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,11061462.080271095,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,11106766.74579879,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11112288.078885153,0.09090909090909091
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,11130611.550184548,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,11144750.442214528,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,11156745.641016932,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11162767.430455744,0.09090909090909091
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,11163708.506613057,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11196404.695118437,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,11197326.254586453,0.0
