三人同把那鬼门关上爬,855,三人同把那鬼门关上爬，
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,9371876.14468763,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9381835.611908378,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,9383961.725193005,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,9397124.999865644,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9402653.993127504,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9415410.48868426,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9423446.324367402,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9436211.98491795,0.1
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,9448749.384939784,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9452481.309084589,0.1
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,9462504.869714597,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,9463493.08716341,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,9469386.843180867,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,9471289.810070666,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,9522948.977188062,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9531541.421989279,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9534899.10344551,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,9581570.045949621,0.2
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9582020.630728178,0.2
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,9582666.786857199,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,9587083.714155966,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,9589981.163324933,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,9599511.790196694,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9604059.803728186,0.2
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,9613192.822082948,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,9618882.408624316,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9629824.92534299,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,9631861.226800261,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,9633790.35849667,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,9648983.105899587,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9655762.18016263,0.1
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9671056.646452812,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9693310.19731825,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9702425.579344299,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,9713167.089388937,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9716750.73786229,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,9737145.441836229,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,9749992.655586317,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9758699.546415223,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,9784493.340163438,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,9785525.233106859,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9785768.98840491,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,9797509.57542355,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,9810488.617791234,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,9811210.868332036,0.1
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,9825225.964552484,0.1
