叫一声解差把店投,8,叫一声解差把店役。
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4880376.627012597,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,4884933.089853921,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4885658.405490547,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,4891581.93348636,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,4891581.93348636,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,4892256.584779143,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,4897202.118336425,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4903357.831805866,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4915677.39363417,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,4915778.790315022,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,4920738.193666518,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,4925470.234929532,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,4926879.918646945,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,4929179.565147332,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,4936230.397790414,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4940612.4378857,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,4943474.906030372,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,4957664.134851752,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,4982109.916742557,0.25
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,4982162.896317134,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,4996138.780180644,0.125
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,5000201.227319432,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,5001205.310383315,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5018211.813830809,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5018706.7423846945,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,5019565.1242074985,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5021607.731467341,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,5024116.22201496,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5028220.891957206,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,5039903.966511197,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,5056347.095249995,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,5056796.370957259,0.125
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5060192.1606351305,0.0
