二不是歹人把城偷,0,二不是歹人（呐）把城偷。
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,6377294.192453825,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6379973.3028361155,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6379973.3028361155,0.125
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6385063.261945207,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,6386456.16153776,0.25
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,6386564.606331157,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,6390276.792980005,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,6411824.759570427,0.125
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6416301.558508784,0.375
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,6419854.565410396,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,6464444.214146655,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,6464444.214146655,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,6474013.737166669,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,6487940.6293610735,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6493968.519902561,0.125
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,6496305.028425978,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6505213.077394766,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6514407.926410155,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,6521110.297749649,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,6521272.461379474,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6523791.14341706,0.125
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6525052.146316501,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,6529802.609340642,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,6553674.200782911,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,6557338.6520174,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6562617.391928812,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6574420.58365164,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6601504.809997056,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6605352.991117675,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6613713.36948925,0.125
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6618395.691303279,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6637031.774274397,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6648769.359230564,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6676863.133981035,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6677678.551567745,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,6691144.400316915,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,6709519.660645613,0.125
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,6744522.458976454,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6756133.343333757,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,6764539.071133694,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6768522.493669165,0.25
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6772785.678645781,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6778987.086257942,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6778987.086257942,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6803926.41727496,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,6832562.78568313,0.125
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,6833400.589286433,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6855748.174792957,0.25
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6863263.7226362685,0.125
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,6867677.478003437,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,6880274.731204316,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,6891844.973429659,0.25
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,6948962.605702188,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6957817.684574084,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6965454.260960826,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6969635.258731655,0.125
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,6991883.456457669,0.25
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,6995841.463566354,0.125
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,7007162.867168148,0.0
