娘生儿，连心肉,0,娘生儿连心肉，
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,11297552.671408137,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,11319437.528252315,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,11320904.916177891,0.2857142857142857
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,11351428.430500267,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,11368003.405616686,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,11385228.80331927,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,11545398.435842333,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,11549498.0825143,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,11566040.53710494,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,11574500.980914963,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,11592154.597610861,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,11617409.114427418,0.14285714285714285
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,11634436.876376113,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,11644495.423427783,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,11661810.526041606,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,11707573.865780024,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,11729184.533348585,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11734942.918113155,0.2857142857142857
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11785684.741198018,0.2857142857142857
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,11812166.962618375,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11832254.727367572,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,11853372.261016473,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11865594.50946576,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,11876559.522686005,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,11889044.91739523,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,11899748.451824173,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,11911446.814010546,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,11939351.785262039,0.14285714285714285
