儿想娘亲难叩首,0,儿想娘亲难叩首，
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6873800.9076153,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,6875424.080323936,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6896395.89839649,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,6914940.210124422,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6945811.886124952,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6955083.4570664335,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6958404.082108358,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,6986842.989420321,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7007053.328250344,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7025942.724969472,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,7038195.056427662,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,7063951.995429834,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7078542.077096672,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7141859.856523387,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,7167410.293530666,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7173695.119758594,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,7196041.122493918,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7198608.028155297,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,7205027.379076705,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,7208512.06890096,0.14285714285714285
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,7222625.115910755,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7238138.0332095,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7254991.999592469,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7261555.304126269,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7263800.7572840685,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7269752.471480132,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,7272413.469995888,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,7272413.469995888,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7297914.067565193,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,7314138.823307069,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,7327459.740780763,0.2857142857142857
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7331232.020676748,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7396028.651183928,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,7453577.596263503,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7459784.11619366,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,7465087.91517069,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7476142.968212483,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7491578.565952892,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7511775.015742568,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7562264.389630306,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,7563678.743822939,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7592526.206307965,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7598926.757911891,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7604891.683271427,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7612009.615702147,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,7618109.152468303,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,7634766.20649499,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,7669857.147378295,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7702266.383219728,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,7709558.683487275,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7773430.7512116255,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7792000.308001852,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7840403.035389391,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7848862.904965892,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7866334.982038503,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7872327.804274255,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,7881160.968278542,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7887064.5200208,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,7948627.608294576,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7965267.419494418,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,7966829.608990086,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,7977489.911136921,0.0
