右手再把栾布拉,0,右手再把栾布拉。
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6694789.4599035,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,6708213.810845954,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,6722805.675928328,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6735765.944273773,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6737519.48278579,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,6770128.806501198,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6771521.853126634,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,6793978.112336654,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,6801868.636827908,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,6806154.864428594,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6811920.73026772,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,6836009.82889993,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6857343.317646807,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,6867441.855323866,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6880961.651991859,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,6888061.414950378,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6893642.012488038,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6893942.1423208825,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6902564.483462855,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6915949.088146333,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6926537.836327688,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6937428.036424782,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,7009280.766914757,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,7011583.067100969,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,7068319.7361005815,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,7083905.1918743765,0.0
