深宫无处不飞花,24,深宫无（哇）处不飞花，
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4946720.346688209,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,4954428.64551192,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4973878.33045981,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4973878.33045981,0.14285714285714285
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,4976357.956100634,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4979107.430530443,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4983430.304539568,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4985940.702082002,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,4989879.5123520605,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,5006788.344755866,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5010215.601845736,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,5012308.215754873,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5017669.484846359,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,5025050.442098428,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5025421.341783847,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,5028735.559067814,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5045751.609508285,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,5048548.423725474,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5052319.602957646,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5054670.523729003,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5058794.418507559,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5061886.58291069,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,5063154.53046299,0.0
