舍不得老娘白了头,0,舍不得老娘（呃）白了头。
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6112035.111057791,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,6113560.450351191,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,6114265.0253466405,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6125437.973000724,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6152339.448093625,0.125
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,6164493.170123963,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,6192258.699094376,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,6201824.240390794,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,6206136.437622142,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,6207933.027901268,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,6219759.713576785,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,6261309.081004924,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6272116.781099852,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6289354.472481412,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,6291625.53461748,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,6300822.997711754,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,6319872.247596949,0.125
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,6324398.078187227,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6355170.875287252,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,6380652.015126078,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6395523.696972593,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6400677.102725823,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6405363.084318577,0.125
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6410056.752533825,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,6410796.806452795,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6422110.092804804,0.125
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6425654.570914368,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,6484771.305656473,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6486606.479227117,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,6490601.346946663,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,6492034.376018046,0.125
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6513216.192861127,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6513330.510906562,0.125
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,6517963.31944771,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,6532791.188394776,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,6540763.8454805,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,6544334.150302681,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6582644.85601912,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,6592447.468640545,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,6592447.468640545,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6593948.280535391,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6616109.693197941,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6626579.894626347,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,6627278.688822517,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,6655578.381345056,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6655980.464830311,0.125
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6659963.877832023,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,6669529.751500804,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6685323.582057194,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,6785246.457144242,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,6798324.496479832,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6824507.353168635,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6840810.669660842,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,6843618.786034609,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,6850273.877458985,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6869622.315148397,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,6870513.909659886,0.25
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6895312.419793231,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6904255.942835044,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6909229.340596522,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6914676.742052935,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,6917344.62405946,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,6917344.62405946,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,6941343.563394957,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6952634.990753499,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,6971050.6130181225,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,6976615.806933651,0.25
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6977607.141950358,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6988525.880992613,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6998923.004527383,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7008636.165857177,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,7030557.583130307,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7034129.62050392,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,7044213.403622368,0.25
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,7063328.844854487,0.125
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7076705.619390734,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7086043.221870054,0.125
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7086664.603395248,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,7101215.70977672,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7125013.33705637,0.25
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,7137481.4478996545,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7138085.81728752,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,7148994.141024341,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7226200.140213326,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7258459.308825173,0.125
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7284368.029100711,0.125
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7293522.7914587185,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7294525.963753535,0.125
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7304522.19789799,0.125
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7321653.352946776,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7322539.528123075,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7329554.757974682,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,7331153.351196305,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7359305.306477579,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7359701.875332374,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7366309.618661505,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7408169.162399551,0.125
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,7419345.637052008,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7431111.060025702,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,7432379.196142527,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7441211.656272549,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7446286.4691428775,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7466286.020249638,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,7492597.893817493,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7500389.099315532,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7508277.311790226,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7512123.728505821,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,7546059.413373236,0.0
