儿行千里母担忧,0,儿行千里母担忧。
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,6610307.730335642,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,6620561.0824795365,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6628188.186822897,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6646887.377788343,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6667293.066461047,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6675725.914314265,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,6698261.095708597,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6718321.290075795,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,6719147.298540421,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,6742424.3016989585,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,6771987.792299195,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6797188.275930231,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6801641.30950049,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,6816580.624975404,0.14285714285714285
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,6817105.4101742655,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,6838947.846440081,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,6854927.055761521,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6884713.576813206,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,6899732.644778675,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6912021.105851226,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6919105.453986611,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,6922025.88392319,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6930017.294964779,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,6963211.8097811965,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6966234.530524664,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6966234.530524664,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,6982067.162217332,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6983676.251895857,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,6996215.605228325,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,7004518.490251761,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7022296.279624631,0.2857142857142857
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7024670.195598947,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,7063550.1855283985,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,7064709.961764949,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7101142.896293051,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,7130194.930189333,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,7146823.077008736,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7161584.1800501635,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7193846.623154797,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,7235595.197748461,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7237705.123201048,0.0
