又谁知焦克明他私自后跟,11,又谁知焦克明他私（呀）自后跟（呐），
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11836904.385904014,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,11887781.727546968,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,11888964.663020557,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,11895719.83365235,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,11902114.438653566,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,11910550.482984498,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,11913248.491738271,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11938039.390625415,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,11968663.858538907,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,11982074.143279927,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,11998579.624903647,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,12016824.172922172,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,12039039.648650069,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,12046529.311612561,0.0
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,12069900.929026313,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,12134365.623465596,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,12155859.535831785,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,12158211.938311823,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,12162403.496798417,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,12187050.385215636,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,12226771.312607208,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12230083.935893903,0.0
