谁知昭关有阻拦,0,谁知昭关有阻拦。
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8705464.128592514,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,8719670.221082492,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8730245.017993513,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,8736416.964558238,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8741528.265183678,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,8755873.26089104,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8757197.712946733,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8800977.323880868,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8803262.557606569,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,8807874.102607047,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8817325.16413002,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8821556.4068071,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8822847.87712971,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8849160.064438028,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,8854682.915065566,0.14285714285714285
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,8882881.498271111,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8888658.170714436,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8898375.95825107,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,8926197.071184402,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,8939205.609686187,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8961940.01448035,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,8967138.21345549,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8973619.126225028,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8973953.27934279,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8996599.109033842,0.0
