我好比波浪中失舵的舟船,0,我好（哇）比波浪中失舵的舟船（哪）。
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6294379.136238527,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6296936.586699785,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6301543.659999095,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6310046.359801344,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6317692.651025271,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6343300.300786461,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6344512.001079266,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6346989.863622899,0.2727272727272727
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6362204.03485842,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6365469.712773334,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6371545.641440064,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,6385595.118767614,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6386894.749903699,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6389037.647543018,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,6391624.271751308,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,6393009.93468402,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6409994.168143915,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,6412081.074710857,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,6419100.848327115,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6436782.891777879,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6443940.966026808,0.18181818181818182
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6452800.173218637,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6459768.1622470785,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6472864.932535515,0.18181818181818182
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6486247.460784,0.09090909090909091
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,6493733.359665206,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,6500214.219824524,0.18181818181818182
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,6502281.898087742,0.0
lsxp-ZheYiFeng-DingJunShan.xml_4,头通（呃）鼓紧战袍，,6509893.28299192,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,6550310.890905915,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6551180.750715747,0.0
