舍不得老娘白了头,0,舍不得老娘（呃）白了头。
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,7446065.280432598,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7481522.0951201115,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7528453.887939216,0.125
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7535499.745816124,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,7537532.665995202,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,7541643.417894379,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,7552162.929670761,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7559025.470025498,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,7562040.5250312835,0.125
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7586215.483679103,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7590256.980977909,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,7609294.921458098,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,7614872.478801722,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7615819.418608628,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7643089.25198757,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,7660820.736275003,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,7660820.736275003,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,7671746.762473434,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7693154.859441945,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,7694726.6549500115,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7696853.471018394,0.125
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,7700698.830425913,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7703677.652465061,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7705177.1868642885,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7716512.826321242,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,7725630.45134966,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,7730689.1199060045,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7745790.814237074,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,7749698.470651153,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7750019.702206567,0.0
