眼见得红日坠落在西山后,1,眼见得红日坠落在西山后，
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,8512545.091395654,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,8520308.964128781,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,8539070.679029973,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,8554827.209259117,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,8650011.92757418,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,8655873.392101862,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8656060.068322765,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,8664546.766335448,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8701319.046487411,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8754455.818865284,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8791095.24681225,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,8791743.361396492,0.18181818181818182
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,8807193.829274602,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8835576.64383804,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,8842023.275486756,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8850810.82449425,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,8861698.240885349,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,8865434.429023698,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,8871398.097740892,0.09090909090909091
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,8872952.673048213,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,8919334.72114118,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8982245.080355467,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8983379.126619123,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,9033055.858677095,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9048706.42871878,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,9074233.489205236,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9087515.534656415,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,9111699.181462957,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,9126259.923246112,0.0
