我也曾平复了塞北西东 ,0,我也曾平服了塞北西东。
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6627569.703894749,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,6636863.457726927,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,6636863.457726927,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6646675.818486884,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,6669640.960007899,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,6669640.960007899,0.09090909090909091
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,6690419.535355125,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6710157.249968079,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6717210.563672159,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,6718714.583936935,0.09090909090909091
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6718925.318853372,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6726627.207345216,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,6754149.446762346,0.09090909090909091
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,6754313.930988038,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6773707.903631506,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,6789585.6456468105,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6793364.513393579,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,6793978.780962974,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,6801053.084885563,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,6806385.180979388,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6813504.499949458,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6827505.410057927,0.09090909090909091
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,6846466.214299434,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6846860.886455554,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6864923.054931418,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6872540.664700438,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6882902.195026345,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,6897828.842362828,0.09090909090909091
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,6913446.518700031,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,6914246.356648642,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,6914834.610876642,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6915985.31272529,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,6919561.8744425,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,6926513.589898371,0.09090909090909091
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,6927679.247382647,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6929283.692209181,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6958039.012774314,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,6969305.356011776,0.09090909090909091
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,6972879.993997581,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,6978381.723896712,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6990272.722403516,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6995730.815670255,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7003683.135366326,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,7004934.228204033,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,7023673.087579172,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,7024074.281280533,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7024603.459967033,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,7030888.422981529,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7042470.986187725,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,7068628.48492072,0.09090909090909091
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,7084455.3124882,0.18181818181818182
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,7085800.750655861,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7099724.837392292,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,7108079.15206237,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7121162.744654494,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,7123252.2376200175,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7129368.401393041,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,7155362.492192079,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7165866.730843262,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,7179285.371809217,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,7180418.640900774,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,7187331.153596465,0.2727272727272727
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7200393.6697178595,0.09090909090909091
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,7205952.653915594,0.09090909090909091
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,7206123.858442948,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,7227853.013224699,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,7229723.481236809,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,7229723.481236809,0.09090909090909091
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7254487.309607576,0.09090909090909091
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,7264536.022639625,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7272560.535354417,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,7272794.607747837,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,7280280.464047988,0.09090909090909091
