将身儿来至在大街口,0,将身儿来至在大街口，
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7916357.470267789,0.5555555555555556
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7925735.346316088,0.2222222222222222
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,7941165.76320283,0.2222222222222222
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7967072.038386095,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7975041.420005556,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,7981016.810289834,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,7989996.198287988,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,8010669.51367978,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,8017885.0768335005,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,8047436.07391045,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,8099982.477435402,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,8123650.688385893,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,8126145.908790717,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8132643.500213964,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8143277.7142378315,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,8165701.647888047,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8201176.281437768,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,8250821.213721471,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8292296.88631486,0.1111111111111111
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8307552.871909536,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8311534.088611003,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8312284.455696175,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8330133.22998733,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8338210.825151901,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,8343409.120669817,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,8366151.47906987,0.2222222222222222
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,8366151.47906987,0.2222222222222222
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,8410137.449591884,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8414871.810466198,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,8427354.048701085,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8444085.733064143,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8446032.585344244,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,8482343.52265896,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,8501594.034198193,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8544593.360734623,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8566393.089038325,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8597552.392434863,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,8624262.213480543,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,8630767.374720803,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8634183.05273029,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,8679129.669958131,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8701877.484036045,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8731345.21308157,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8757766.491525456,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,8761011.7610191,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8823914.216218963,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8831780.56471511,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,8842909.514351727,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8860638.438741926,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8875632.72900626,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8887966.513803639,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8913188.099838773,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8913198.356679244,0.1111111111111111
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,8929761.77289914,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8938661.10721165,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8948147.607858464,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8953023.49087034,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8953137.305947155,0.1111111111111111
