一连几天我的眉不展,0,一连几天我的眉不（哇）展，
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,9811856.648785928,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,9819380.992928443,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,9819380.992928443,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9822966.045899568,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,9849565.705836274,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,9877867.323182538,0.4444444444444444
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,9902811.936197773,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,9915189.205444664,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9918668.102094442,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,9918974.876378303,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9923097.318340808,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,9928611.713332137,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9929740.08646922,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9942130.196240788,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,9944498.8674911,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9953317.554083679,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9962963.907272607,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9963057.186725201,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,9969988.885319322,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,9973152.847797656,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9978208.95955683,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9981272.88714323,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,9983821.24001786,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,9983821.24001786,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9990135.758552017,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,10013448.92614125,0.1111111111111111
