尊一声过往宾朋听从头,0,尊一声过往的宾朋听从头：
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,5000074.405729195,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5013007.011662545,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5013007.011662545,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5016291.7273052065,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5017996.955977844,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,5020249.582386688,0.2
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5027246.409170967,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5040209.913699872,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,5049625.343495414,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5049774.82863309,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5050852.636343619,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5051696.225291383,0.1
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5054417.234946495,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,5054886.3397814585,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5078991.775328659,0.1
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,5101864.596429029,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,5106462.447812951,0.1
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5121772.218901955,0.2
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,5125681.001444232,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5126943.550334414,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5128492.985451332,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,5130656.052613214,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,5130879.501870823,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5137406.723255584,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5137621.366376575,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,5160104.371617164,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,5160161.2341146665,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,5166191.761760928,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5173215.7582828095,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,5173418.855200335,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,5175840.278058026,0.2
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,5176890.3270447375,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5186474.689136933,0.0
