三更时想起了年迈爹尊,0,三更时梦（呃）见（呐）了年迈爹尊（呐）。
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,11228182.280967427,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,11234481.496244293,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11235887.654858474,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,11240379.296730516,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,11247268.460143065,0.1
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,11289281.366132142,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11305346.57252031,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,11328859.450113652,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,11357509.586290937,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,11369891.89686124,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11377790.507295266,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,11382355.7034237,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,11418383.565997686,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,11431019.426473996,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11449867.946006948,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11456948.990179576,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,11478512.20405123,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,11480201.285534875,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,11480902.01731273,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,11490791.564754253,0.2
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,11496577.081147214,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,11526966.513777865,0.1
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,11549709.624413244,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,11550185.632337824,0.1
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,11577689.582551049,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,11578021.504195819,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,11599867.974149885,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,11601426.603864428,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,11604387.361697014,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,11604885.902907839,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,11622029.194882829,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,11634665.191265449,0.1
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11658923.803258516,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,11674412.08726208,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,11693708.05248948,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,11697657.470769087,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,11698293.499236703,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,11705779.129888661,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11709560.881502835,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,11734765.245067783,0.1
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,11742608.216368262,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,11746451.259061057,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,11746916.637414029,0.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,11758477.1528007,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,11760201.072509604,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11765855.72084739,0.0
