儿行千里母担忧,0,儿行千里母担忧。
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6984753.538579494,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,6985058.467323395,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,6986246.544230834,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,7005061.352911809,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7034580.4296113225,0.2857142857142857
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7036849.397602476,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7058773.701292356,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7058773.701292356,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,7064534.388784609,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,7075214.0431404505,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7106843.39730183,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7115599.137746414,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,7118469.865096214,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7125764.173110616,0.2857142857142857
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7139726.820439906,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7144622.882709464,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,7164926.283440625,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,7181705.3991093775,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7195060.541673367,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,7220461.265766196,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7238955.233663242,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7248592.881190037,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7264229.141086205,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,7265944.705786788,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,7273313.108788105,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,7275411.562216942,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,7299105.9734364515,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7301077.127475108,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,7333946.916440783,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,7367065.2260129675,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,7381918.859817684,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,7398534.519268395,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7402949.918535522,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7408685.115689771,0.14285714285714285
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,7419863.072422038,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,7427058.669141422,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,7433431.029309408,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7468996.744890258,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,7475506.026512955,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,7508157.413579714,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,7529700.179889637,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7531974.095488644,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7534758.7421089765,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,7553110.554517623,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7606757.00496277,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7646120.3817127105,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7656045.225334951,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7684057.728451566,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,7684143.687427182,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,7689155.183743841,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,7705051.114066109,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7708215.581595522,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,7712218.818641119,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,7735719.3023237195,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7750762.40146924,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,7759211.864106969,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7762404.650068753,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7772975.558575109,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,7774233.017554935,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,7775854.243759345,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,7800086.294254071,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7809442.718503694,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7816243.715374626,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,7827748.953954234,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,7843352.391507654,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7848825.66700089,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7867172.1676515,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,7870330.408481319,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,7882646.934309932,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,7888387.419263319,0.14285714285714285
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7916883.1796849165,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7917926.460143374,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,7917995.002927693,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7935476.406999907,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,7949674.536240638,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,7956019.974893766,0.2857142857142857
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,7968353.976991768,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7971901.888345784,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7972481.027129126,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,7978420.274011508,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7988317.132645413,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8010956.959003098,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8020190.082341009,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,8029659.194057317,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,8058925.803172159,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,8076559.373965297,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8106840.306161172,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,8107585.873912281,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8134559.6292847805,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8140026.194073779,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,8173384.433877588,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,8235814.352368809,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,8249452.310103458,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,8260586.82057238,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,8276895.943585803,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,8281276.171257371,0.0
