因此上臣的病重加十分、千岁爷呀！,0,因此上臣的病重（呃）加十分、千岁爷呀！
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9299190.807689726,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,9318579.218719484,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9328362.226944694,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,9331517.842248436,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,9338994.606441343,0.125
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,9351454.324893726,0.125
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9368360.772301776,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,9386427.771444095,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,9387351.140862959,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9398494.469351405,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,9410137.919482743,0.0625
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9417552.187155144,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9423476.690842254,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,9433370.119905144,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9439694.800673774,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9444119.969167579,0.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,9445744.003530383,0.0625
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,9455474.703275902,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,9455474.703275902,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,9457617.038798744,0.0625
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,9467940.096157394,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,9485312.07739514,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9499220.418442212,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,9503225.579835225,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9529969.838705968,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9536830.17702113,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9551626.730023434,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9555293.295202345,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,9589051.02020963,0.0625
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,9592304.731242517,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,9595220.208850624,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,9612158.428015143,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9617920.892726023,0.0625
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,9624677.988960749,0.0625
