朝欢暮乐无牵挂,0,朝欢暮乐无牵挂，
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6969902.102944795,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,6986913.011152895,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6990148.163685388,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,7004874.943572118,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,7008727.437639918,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7025932.4449305395,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,7029643.752803957,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,7046730.673380286,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7061859.986198751,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,7078108.129000727,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7084967.895813292,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,7086184.315422265,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7093851.376927192,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7109027.251495738,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7117967.500947205,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,7132851.652742244,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,7144574.566910059,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,7144574.566910059,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,7147068.826018766,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,7147068.826018766,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7159717.481645342,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7168939.871680006,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,7196507.583818851,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7219331.126806067,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7225644.663927347,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7228187.494459952,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7238497.569876135,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7239021.291334331,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,7243160.854327573,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7250335.694971005,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,7255240.426565074,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7260185.911146347,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,7277706.185430835,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7284857.879583344,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,7290209.113067721,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7294752.999399723,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,7298251.532214334,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7302126.065461488,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7304888.159971947,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,7355579.402889073,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7367888.991530215,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,7375957.329402031,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,7387104.920842994,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,7407585.101072948,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,7419940.9395571295,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,7421670.129648294,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7423261.3588309465,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7424734.113715132,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7431482.407716603,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7445748.04553651,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7459463.677942025,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7459951.199644075,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,7460138.954932704,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,7470317.263443728,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7475187.280983261,0.14285714285714285
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,7478511.05472271,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,7481442.901639454,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,7486789.27238598,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,7494841.704320342,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,7532816.784989602,0.14285714285714285
