先帝爷下南阳御驾三请,0,先帝（呀）爷下南阳（呃）御驾三（呃）请，
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,8431671.2295747,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8442105.321962114,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8446841.044745136,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8453466.999152157,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,8475623.981904004,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,8479241.70072885,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,8501835.959306618,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8532089.169683075,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,8549796.64197991,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,8559587.997260341,0.1
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8570131.498687154,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,8574525.252613498,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,8626657.57238435,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8662165.278681079,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8681551.437475009,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8695845.717307566,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8720017.159314713,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8772508.142385708,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,8772822.350199424,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,8772822.350199424,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8780211.829308685,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,8781994.723893832,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,8793114.552185018,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,8812796.769878892,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8817449.232927227,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,8863033.349068966,0.0
