我好比哀哀长空雁,0,我好（呃）比哀哀长空雁，
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,8649953.889699057,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8653280.75533516,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8657269.724426813,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,8664302.382412726,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8676814.250185465,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8680305.21475218,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,8691319.943878597,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,8700550.539859591,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,8707290.811798483,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8707894.712008966,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,8715769.20355428,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,8728651.952686433,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,8766836.596882286,0.125
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,8772973.912185524,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8788610.25622313,0.125
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8790633.629427735,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8793622.724469768,0.25
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8798089.092201777,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,8803845.512839885,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8824116.603465915,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8828501.842942057,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,8831760.862971278,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,8836438.53649563,0.125
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8855077.427286968,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,8865009.215225955,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,8875160.390824217,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,8883302.548839472,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8884351.67636541,0.125
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8888848.667150022,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8903094.27991918,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8913519.690513913,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,8918580.001969717,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8934091.827640954,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8946636.37745852,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,8959001.990746327,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,8961088.01504423,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8991611.179272829,0.125
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8991648.8485297,0.0
