杨林与我来争斗,0,杨林与我来争斗，
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,12944627.983246857,0.14285714285714285
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,12966116.776185874,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,12983806.267261036,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,13064542.875494497,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,13116786.562524937,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,13172231.266231228,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,13208232.798649428,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,13228680.691518346,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,13230601.185796717,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,13252892.620565023,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,13266572.734454734,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,13318458.31681357,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,13390180.49543113,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,13413299.155439906,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,13413299.155439906,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,13479179.514934877,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13492599.441831436,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,13498044.299694901,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,13554025.587812126,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,13575038.840297213,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,13612424.738826595,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,13677310.254470712,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,13677310.254470712,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,13751889.776574649,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,13799962.234676898,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,13872335.335909944,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,13915203.320125887,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,13944146.542664206,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,13957935.416265666,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,13987565.72284783,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,14005600.919210222,0.2857142857142857
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,14077272.986418985,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,14134886.99723491,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,14144420.239861796,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,14174704.108255822,0.2857142857142857
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,14175999.496228958,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,14221530.166173954,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,14249342.325891577,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,14278158.884345455,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,14297087.033218719,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,14310076.47439831,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,14311482.883035881,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,14319691.613431275,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,14417642.731878923,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,14436769.114817321,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,14520863.31395492,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,14553164.370885478,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,14560488.143048562,0.2857142857142857
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,14560488.143048562,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,14567185.630216401,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,14570555.353157043,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,14603782.57297857,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,14606555.340245293,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,14612791.271078046,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,14625059.754694484,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,14659248.28008665,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,14691968.504153278,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,14711626.708897252,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,14724183.602886165,0.14285714285714285
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,14729281.618759817,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,14744036.837007644,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,14808160.270636106,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,14835319.691508666,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,14864162.604881471,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,14867948.159946093,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,14878314.213541308,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,14900120.273268942,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,14917034.708942888,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,14927060.752256654,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,14987157.457478484,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,14989778.904833885,0.2857142857142857
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,15044928.035161363,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,15070330.968758615,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,15108331.050514998,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,15152127.594032232,0.0
