身不爽不由人瞌睡朦胧,0,身不爽不由人瞌睡朦胧（呃）。
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,8805298.809251428,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,8828265.278756214,0.2
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,8845605.985933475,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8861608.390133321,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8871817.308943484,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,8903073.340247517,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,8927768.591131534,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,8929465.200110085,0.2
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,8939253.136425108,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8957438.15313275,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,8961770.385385761,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8962359.445990289,0.2
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8962359.445990289,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8999300.228491595,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9059553.262144262,0.2
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,9060662.179070693,0.3
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9078933.338980302,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,9094849.87584386,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,9096841.014117718,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9109978.86340059,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9127465.850611018,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,9134143.835433492,0.2
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,9150326.389519611,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,9150326.389519611,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,9171621.243448416,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,9228916.39989602,0.1
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,9243292.779478427,0.4
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9248947.231838198,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,9291368.548148042,0.1
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,9334871.088905314,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9394166.163889896,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,9415125.593366852,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,9421822.555307271,0.2
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,9450368.034954967,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,9487012.645847348,0.2
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9499071.283085324,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,9502975.411532026,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,9541378.45412012,0.2
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,9541541.49349989,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,9545462.572048342,0.0
