实难舍街坊四邻与我的好朋友,0,实难舍街坊四邻与我的好朋友，
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6902697.264703515,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,6905020.829211264,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6926392.161106809,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,6930033.394602131,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6940187.720773705,0.07692307692307693
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,6960023.892499114,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6991226.259637575,0.15384615384615385
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7003752.125154937,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7037682.320492906,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,7060642.561449748,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,7076853.534080069,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,7079345.868410246,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,7115557.153356039,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,7115877.356363508,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7134476.410119216,0.07692307692307693
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7140561.834126375,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,7146099.646068626,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,7152881.423292315,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7159563.647618665,0.15384615384615385
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7163391.366241513,0.07692307692307693
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,7179120.873141826,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,7185888.028785168,0.15384615384615385
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,7196208.045846906,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,7196885.443346631,0.07692307692307693
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,7205921.254213021,0.07692307692307693
