二不是歹人把城偷,0,二不是歹人（呐）把城偷。
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,4901654.825029901,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4919157.969058172,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,4938078.88982631,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,4950531.719893416,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,4957555.016556542,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4963784.587967724,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,4966040.899694658,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4983204.867662692,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4985538.819383724,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,4990800.361554445,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,5032790.502581782,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5039666.181331442,0.125
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,5040279.4128789045,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,5063012.9388088565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5089836.526297932,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5125949.079267386,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5133283.047715066,0.125
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5136086.67808727,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5139348.78221041,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5143926.679214213,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,5150387.586686167,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5152111.580419256,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5164110.792606549,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5167626.627500685,0.125
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5186140.372262919,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5207343.7229879415,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5212451.379821141,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,5213091.733373902,0.25
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5233640.586883699,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,5258845.725618532,0.125
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,5271137.707751545,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,5274694.4721971,0.125
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5287947.5086570345,0.125
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5288995.453235276,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,5295663.2034841925,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5314284.5096493075,0.125
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,5326597.162999902,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5333358.294592291,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5347406.1105265375,0.125
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5366828.076062007,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5375476.725823885,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,5385961.243096038,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5409723.808234082,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,5411542.968847859,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5416035.235723663,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,5416256.197225704,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5420561.0967768375,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5439807.350333795,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5449531.140419746,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,5450125.952206654,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5454667.2860277165,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5458449.502878827,0.25
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,5464250.954044253,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5465552.156479447,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5472580.566067715,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,5474211.466717277,0.125
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,5485522.720834978,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5488644.076218995,0.125
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5501066.012658453,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,5504258.2463968005,0.125
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5505756.466923274,0.125
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5509056.6170919975,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,5525119.9345325455,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,5529468.42956068,0.125
