为此事终日里忧成疾病,0,为此事终（啊）日里忧成疾病，
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,8273277.54478183,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8280469.50599878,0.1
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8287997.514004286,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8290188.811353394,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,8308030.285703876,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8317877.655228227,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8375767.677584003,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,8381678.727232715,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,8419566.938067695,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8434383.102640968,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8438339.75931865,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8444251.04907729,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8459361.614584718,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8459704.74851267,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8462600.109064512,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8469087.371152945,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,8490240.258985909,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,8492377.743412204,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8493854.253571294,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,8496711.03326246,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,8505295.920091828,0.1
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,8507622.9889758,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,8508976.741119023,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8555149.255271073,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,8555153.943069981,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,8564641.760061985,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,8565045.974545239,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8597337.859780258,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8599763.280339524,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,8605860.823698951,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8614154.625149772,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,8631436.530271411,0.2
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,8636142.696869006,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,8660346.07536408,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8667284.997368462,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,8669775.507230781,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8686240.643202716,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8690364.016152982,0.1
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,8701170.017194347,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8710847.396954391,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,8718797.336406134,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8725566.937839564,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,8742837.85218871,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,8747991.237467187,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8749150.111792864,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8751079.044345515,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8753868.372853676,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,8755111.153579617,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8759417.385095632,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8760161.368076589,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,8760752.796404883,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,8764636.028558064,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,8806308.15445927,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,8816856.287465964,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8824378.59050745,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8824864.69857582,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8846896.027140364,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8854028.616342595,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8861833.742708048,0.2
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8869131.044817325,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8876660.562096812,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8889390.81654134,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,8891228.381450567,0.0
