周文王访姜尚周室大振,0,周文王访姜尚周室大振，
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6678010.7881921595,0.1
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,6680338.579682025,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6684513.082711307,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,6688838.103909507,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6691059.364849686,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,6691614.022112145,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,6698959.682654853,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,6706825.719720416,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6713074.065128445,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6714342.501581943,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,6722444.373789535,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6727634.222964157,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,6741304.289836523,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,6747523.7896309765,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6749456.15593203,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6763822.886804806,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6764836.452650436,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6778753.351089243,0.1
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6779748.49180568,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,6781311.282291012,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6781990.004694881,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,6790486.414039041,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,6798377.3873119,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6812920.428043496,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6825548.303520193,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,6842410.239276945,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6843102.573924174,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6852950.844228335,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6858807.066859998,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,6876454.446219197,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,6886975.343539661,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,6892093.186790905,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6892370.363740045,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,6892911.886187231,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,6893530.45884137,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,6894378.427571464,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,6898942.713112576,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6902042.296601407,0.0
