因此上发配到登州,0,因此上发配到登州。
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,5156133.197206467,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5156423.8030541465,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,5164976.918012547,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,5175892.782182115,0.25
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,5180679.066051694,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5191089.890370918,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,5195416.368193498,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5201091.130165825,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5213650.030112461,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5215097.907914351,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5219178.3369688075,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,5220593.1712041,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,5224661.173201405,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,5253183.13836718,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,5271575.742938861,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5275794.068563346,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,5278021.258836727,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,5283232.49782473,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,5288613.039870147,0.125
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5289576.351601599,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,5304695.455093113,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5308858.325920632,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5336366.584928617,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,5338411.875790309,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,5348327.458650799,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5350103.119256556,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,5351374.712792386,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,5360620.404711777,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5362415.636609081,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,5370779.936958946,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,5371406.852908973,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,5371406.852908973,0.125
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,5378903.311417616,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,5390730.289052777,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,5391166.224339086,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,5393357.514126456,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5399019.176529667,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,5411584.940499528,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,5416108.057624136,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,5440985.17596804,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,5463921.69668418,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5476074.182142989,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5477344.46063366,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,5477537.86311588,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,5477537.86311588,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,5477729.37044098,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,5523422.78858914,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,5528263.267986414,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5539246.832331262,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,5547806.289910017,0.0
