眼见得红日坠落在西山后,19,眼见得红日坠落在西山后，
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7742695.859225605,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7753629.23658524,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,7797075.300788365,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,7806886.085564936,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7834973.1245176885,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,7854478.986818482,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,7882136.265721513,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7900008.25774502,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,7915750.5877717445,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7946870.692359936,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7951933.8646316705,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7961227.057152393,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7996512.985334912,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8030167.107052675,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8033990.316637317,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,8045119.560095539,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8046317.518577024,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8064760.616059384,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8074767.758004848,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8091408.115996044,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,8105133.725456281,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,8107137.667662434,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8119262.590825171,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8143611.967843,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8148624.932247109,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8174405.744540867,0.09090909090909091
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8178812.431518556,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,8185860.317950261,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,8222711.748053383,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8254402.826447438,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8265894.278760395,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8270093.791259105,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8278588.671745752,0.09090909090909091
