娘想儿来泪双流,3,娘想儿来泪双流。
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,5526155.852810748,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5532486.361690267,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,5546008.3563169185,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,5554312.364439728,0.2857142857142857
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5577198.337457529,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,5593209.2963232305,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,5597807.158335656,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,5608394.676551719,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5622450.943501533,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,5627063.66824189,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,5627399.693589389,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5629195.048987246,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,5650258.623530846,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,5656883.964543698,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5665252.545339798,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,5671067.876326569,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5693154.498218001,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,5696813.546789188,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5711337.359939976,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5714662.0349562,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5729408.658056348,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,5730184.590364704,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,5733428.234783944,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5740066.799358542,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5754687.090081154,0.0
