芳心寂寞有谁怜,0,芳心寂寞有谁怜，
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7245593.1927710418,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7275211.3649781765,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7278128.1387304412,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7278673.3439978175,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7280759.6967150029,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7354608.5408638427,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7371200.2300599366,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7375994.2334487578,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7391797.898169226,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7402065.6837230967,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7409731.4246186754,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7438424.7752937991,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7445688.4368196279,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,7453091.0185023723,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7463668.5992340492,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7467063.4437328083,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7482148.2910053441,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7494137.9192623058,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7502298.3232307816,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7502298.3232307816,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7503108.5822123578,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7516517.9158193748,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7518680.8174680164,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7526743.7970550666,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7529922.1128741335,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7532273.8532495461,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7539361.4674902828,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7549836.805857975,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7567187.6155311279,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7577962.4355897363,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7587251.5483870441,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,7597888.0439147726,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,7604088.2350579565,0.0
