奴似嫦娥离月宫,295,奴似嫦娥离月宫。
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9237124.4660988096,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9257621.6279777251,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9293306.1901460532,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9298153.3545029946,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9315939.9045635108,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9326773.6817346457,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9329647.6698378623,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,9353733.3461529687,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9367665.8372139167,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9384682.9414755534,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9405530.2829674613,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9414615.693190448,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,9434283.7493814528,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,9444941.6444058158,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,9445647.0964267794,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,9451868.5202368982,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9487559.6549750678,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9509832.3240858093,0.0
