那冰轮离海岛,4,那冰轮离海岛，
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,7646648.9989211913,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,7653816.4983352385,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7654927.5797532322,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7693305.2920339564,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7694975.0694882888,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7752352.6731680026,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,7779294.0997355832,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7800341.3828096753,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7819485.3114587478,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7849745.5135077639,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7853208.3420558237,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7871879.3161764331,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,7901884.3069973299,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7908949.2001185836,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,7921784.4690984013,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7949350.8906246638,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7970840.6508544134,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7974376.6521384716,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7993784.2611431256,0.0
