但愿得八主贤王从中周旋，早成美眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山,1,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9849232.1311198846,0.05555555555555555
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9868005.2470085956,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9878949.3805437647,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9884988.2971451208,0.08333333333333333
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9905781.3651017733,0.08333333333333333
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9944571.2114064656,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9973820.8695889413,0.16666666666666666
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9974592.0884341504,0.027777777777777776
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9996784.4303533416,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10002972.077044277,0.027777777777777776
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10024147.69203734,0.1388888888888889
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10040398.930717137,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10041627.697122522,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,10069133.05733715,0.05555555555555555
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10070550.856620859,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,10080296.720538015,0.027777777777777776
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,10081598.399885809,0.027777777777777776
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10113386.330795197,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,10150758.716126088,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,10158097.830050062,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10159995.221249506,0.027777777777777776
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,10163828.728141431,0.027777777777777776
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,10169741.898142427,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10182913.123990441,0.08333333333333333
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,10189405.658934485,0.05555555555555555
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,10189563.723864958,0.1388888888888889
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,10211168.126075106,0.027777777777777776
