被纠缠陡想起婚时情景,0,被纠缠陡想起婚时情景，
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6981215.5413305191,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6981215.5413305191,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6990306.1205865368,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,6993297.9371809922,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6996610.1365035186,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7002659.605678835,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7017476.2491306011,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7026130.9044521488,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7036352.7199216252,0.1
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7040253.8805189356,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,7069685.0663305968,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,7070577.0107139926,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,7072081.9277719306,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7080316.8985252464,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7082871.1010689605,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7103680.9836295694,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7122670.7705411278,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,7124282.8118795883,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7162613.0113756014,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,7163395.1752349921,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7176224.6002550814,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7181699.2119405596,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7197410.7615740197,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7204236.1879196018,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7216392.3931993796,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7236200.3667598004,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7236831.1669513611,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,7241040.3152680146,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7248359.8562796013,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7250605.6753569981,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7307095.1897058664,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7311621.0671839304,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,7323840.245972787,0.0
