跟随着小红娘就能见着她,237,那就是来了我西厢带路的小红娘。
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7928702.0227575507,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7952419.2446467718,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7974193.3728121929,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,7981040.5131024094,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,8061385.6127362624,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8064924.8779042475,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8091719.6418318925,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,8113795.9303215677,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8114039.3998871604,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,8157151.1006997591,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8174430.6777073257,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8174430.6777073257,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8197002.9951106682,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,8201381.3876845697,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8203635.4959696075,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8238340.0678722737,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8251069.1697353022,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8269187.4989455221,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8304774.2185231997,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8333927.5050413087,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8355029.0708194962,0.09090909090909091
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8375559.0351252919,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,8385764.4382982682,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8404440.6315233912,0.0
