帝王家深宫怨似水流年,1,帝王家深宫怨似水流年。
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7435881.7668664679,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7450545.5857412228,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7455023.9166506389,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7468905.972519041,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,7473560.1679401044,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7489173.6118215965,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7504178.8062654343,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7507840.803406802,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,7513252.7701203385,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7516287.8402466448,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7517105.2208928596,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7517318.1130671659,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7528212.8587691421,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7540577.4585035807,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,7555444.1197305471,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7580871.9041554006,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7590068.8671927061,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7602089.6604410596,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,7607594.8724671155,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7620683.1449329145,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7620918.567161981,0.1
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7623378.7651630323,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7645857.8088844363,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7645986.5735601718,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7673257.1107352618,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7679609.9485505875,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,7687127.6796614602,0.1
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7706166.6344854673,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7749673.1058982266,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7776004.5997908283,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7843929.232441782,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7847154.2311978554,0.1
