不想团圆在今朝,1,不想团圆在今朝。
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7179517.4081947478,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7187092.1049876316,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7201379.2257263837,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7205323.9291523052,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7216802.2869477728,0.2857142857142857
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7249074.1807203079,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7256549.188647477,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7269692.6168571059,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7286375.34699851,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7324639.7202766733,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7359677.3196130563,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7364051.70386793,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7378687.0731943035,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7383434.6958706193,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7402324.6161982417,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7406316.1170639377,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7406657.2938151183,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7406657.2938151183,0.2857142857142857
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7416238.0471588131,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7451177.3686263878,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,7460117.7654387224,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7491990.4733994473,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,7493026.4078728324,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7515251.2296567094,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7538842.4652614435,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7547405.8893953441,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7576670.3461016761,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7618950.0671904283,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7630030.4847173626,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7657580.5803416222,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7671999.2088411227,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7681928.5509486888,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7691918.0632656869,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7710542.9769009696,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7749518.0711210389,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7767387.6436691722,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7777558.6674573496,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,7784973.8772518486,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7788921.1443420891,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,7795377.7535371743,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7800622.7941375673,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7808968.996033879,0.0
