唤起我破天门壮志凌云,0,唤起我破天门状志凌云。
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8554330.3254505917,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8561401.0214936174,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8583133.4026976544,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8596501.7780239284,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8617583.9302494228,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8718311.1339753363,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8755134.9068043977,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8759865.4744845815,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8761997.4214707669,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8778421.6162963808,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8808594.7932443004,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8855371.8287916016,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,8859700.0501488298,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8861008.1157742403,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8894192.3209792543,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8974129.3865139429,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8977620.442608228,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8983558.1904298123,0.1
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9000177.1002945751,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9056752.810762208,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9090669.4447154012,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9095797.1074257698,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9144126.4973165635,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9152562.4089849051,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9163689.8196876794,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9172797.7333701812,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9193833.5481683929,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9264088.4411150217,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9277750.5481835157,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9282137.8211368546,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9320746.0574619099,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9321074.940553803,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9338939.8381146099,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9367003.5451479442,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9462309.6718941927,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,9464839.0773628633,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9464901.2284678891,0.1
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9486224.9349144958,0.1
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9565380.8529856708,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9587186.4510337133,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9593035.4791337848,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9593069.7020368371,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9607736.4531758763,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9607912.4920000341,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9671516.8413136099,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9697259.8074039128,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9721481.6750046276,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9768245.2677174509,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9805365.3948675077,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9808776.619541375,0.1
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9925218.000258211,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,10028836.207939031,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,10064632.09528346,0.0
