轿内的人儿弹别调,32,轿内的人儿弹别调，
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,11604144.614553601,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11608852.500403099,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11627532.902934009,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,11641999.373955566,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,11668676.52546877,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,11674542.174273882,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11679397.975178843,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11696592.314988302,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,11697937.586776663,0.125
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,11758961.255339919,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11814468.233469104,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,11837361.924725285,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11859234.514963586,0.25
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11877523.313485824,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11882966.136547612,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,12026094.166984899,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,12075118.894895041,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,12090715.425925523,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,12119650.354661975,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12175123.951428609,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,12190765.317818938,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,12264452.628394216,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,12351290.144085394,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,12377232.367630398,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,12386986.698059034,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,12512423.120245347,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,12519399.441022063,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,12525242.32256365,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12532036.529121829,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,12536672.597968463,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,12550132.948486388,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,12556209.73998468,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,12577878.215481529,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,12642589.824524315,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,12646611.536365399,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,12649559.559764627,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,12650670.332087195,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,12653775.610831227,0.125
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12658683.921068465,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,12669010.266347921,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,12687870.949908795,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,12719666.166220769,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,12727986.867891304,0.125
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,12742104.331691332,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,12778202.338013463,0.125
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,12792657.943816965,0.125
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,12807891.74083359,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,12810613.520684561,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,12832525.673137313,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12847271.238256022,0.25
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,12946847.596055107,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,12985382.677900586,0.0
