菩提树檐葡花千枝掩映,0,菩提树薝卜花千枝掩映，
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7276183.615363352,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7356821.9422676088,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7391078.7983014872,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7423294.5446452918,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7495142.0549469478,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7496910.6716177044,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7508501.104553761,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7527862.8999737017,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7541485.4622731078,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7545451.2628235035,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7560232.1982659213,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,7563241.8895114455,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7577527.4480126761,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7596902.1796669336,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7598705.3630477246,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7606064.7194919251,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7615822.9602605039,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7621973.1575407041,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7623804.8668193342,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,7628707.3742632503,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7693420.0356945777,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7730275.5760869393,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7744297.2829382056,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7756540.2299547121,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7757354.0499765072,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7767119.1743785636,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,7771360.7260988392,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7817480.89092468,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7818720.3558158707,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,7819139.6776509145,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7822164.3569017425,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7835126.033984757,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7845224.1050100541,0.1
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7863281.2252929593,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7928748.3596395589,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,7964917.9255486988,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7986375.46023646,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,8010216.3358036112,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,8011940.6486196406,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8015188.4711235724,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8022010.522266509,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8025100.4107138077,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8026670.1463341778,0.1
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8052849.2849665741,0.0
