想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,7947854.3228765028,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7964285.8830356654,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7964904.3483662102,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7967191.8007414192,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8028548.3762137666,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8042491.8669393351,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8053770.6948571038,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8085510.6834758362,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8088368.2553920457,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8109518.0885329675,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8162345.4526807209,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8173914.4449530272,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,8196732.3899319535,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8213563.9004254518,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8219154.0291522453,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8254629.4082421949,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8284553.22967159,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8294378.7736226888,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8338052.5867977692,0.09090909090909091
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8341639.4566230308,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8363535.995817299,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8382866.2958673183,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8391967.6568113547,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,8435830.5024699178,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8446970.317358708,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8466284.2328551076,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8472823.9681089427,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8480260.1128692087,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8485942.1123689022,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8493422.4093107786,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8495639.1641000453,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8529538.5692344941,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8532127.8112073373,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8571788.6022304986,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8630584.1467077322,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8640763.3786386196,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8641289.275989648,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8682213.9011899345,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8685942.4034532774,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8692301.5301436596,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8719228.5820990354,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8749847.2750962954,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8799877.3257392067,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8813247.3041170239,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8842242.6221222971,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,8855919.623847777,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8900542.8980144337,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8927619.8589650393,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8948537.8268413208,0.0
