孀居愁苦泪洗面,2,孀居愁苦泪洗面，
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7806932.9981340682,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7817637.7885021167,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7823964.1576544223,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7826238.4142245026,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7834428.617710256,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7883639.599502733,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7893217.5021687653,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7907879.889336166,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,7955483.0825294843,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7959290.0599857774,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8000472.0419884631,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8033045.6525456142,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8034503.233635217,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,8047321.7043546317,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8052699.235955162,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8087228.3079867074,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8091055.0754848877,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8159945.0440804996,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8216070.6709585385,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8225997.0864222273,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8228272.7157373605,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8241266.3521797387,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8248499.6322296057,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8280731.9360226411,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,8340963.5716760289,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8364929.8292283844,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,8400820.1908915862,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8403470.8699878361,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8436735.3659118321,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8449020.4530637488,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8449524.9013228659,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,8464345.9750065822,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8494998.4753467813,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8506595.4823269472,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8511719.8953408115,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8529731.3087828886,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8544329.9677586034,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8583097.7480561193,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,8588639.573036667,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8612974.3074487839,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,8634668.9090645723,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8644620.70272501,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8650163.2497260254,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8651164.4027637206,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8701993.8903072309,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,8706296.7803923897,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,8723374.1215889938,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8727933.9707719255,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,8737788.4055989739,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8740107.1671789549,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,8769722.87535966,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8769986.1517843939,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8774051.3089886457,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8785369.1228504572,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8788571.6415999178,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8800555.1111208126,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8807841.1438630857,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,8819776.659824267,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8828595.7699812204,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8828738.1274423078,0.14285714285714285
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8838628.2934689727,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8866277.1695215814,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8897329.7945333142,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8916731.3690046463,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8917685.1962323301,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8932612.7859212141,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,8936693.984946616,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,8983514.2060618252,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9004286.5648362935,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9010557.9714860544,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9023554.4839728307,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9028319.7621602081,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9031644.5900379643,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9039640.6116541214,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9041513.7733026836,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9074553.9993155617,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9084884.4319613762,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9094643.3365424443,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9120610.0802180059,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9173065.9996710941,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9189296.4287244342,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9205993.6806477699,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,9245088.0476103835,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9254510.322477024,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9292237.9709576238,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9306571.9349987302,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9314665.9659702014,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,9325155.5216937754,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9329483.3263693079,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9393187.7827755976,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9463706.9337570928,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,9504839.7167156469,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9558211.0672655683,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9603125.3561770078,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9633957.8070937935,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,9643228.0861712806,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,9663212.0979790613,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,9665344.9832334854,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,9665344.9832334854,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9692365.611771524,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9721739.2902327627,0.0
