隔帘只见一花轿,0,在隔帘只见这一花轿，
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,9565365.4527840447,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9683859.8942702133,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,9702355.6225618664,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9714501.2501110807,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9717591.5215779543,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,9792079.908670295,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9796540.5845772363,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9806848.1151631512,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,9876152.5222208966,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9899877.5288279448,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9905758.5149966758,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9943967.9540744498,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9982026.5573403332,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10004318.584622797,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,10006273.341577962,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10015770.95764997,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,10065070.018536612,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,10073251.269539392,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,10075577.267528396,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,10079432.050890608,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,10098565.518773101,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,10108006.235577904,0.2857142857142857
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,10119237.129277421,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10260060.381133972,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10289540.935207715,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10301772.606405355,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,10316758.181984153,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,10341734.804193294,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10359184.28627388,0.0
