辛喜得珍珠衫称心如愿,0,幸喜得珍珠衫称心如愿，
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,9368141.3959258832,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9374639.3593189195,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9377057.3474410679,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,9397558.8613044508,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9415772.0069926158,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9431200.3466995023,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9501425.2614536081,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9516568.4179973081,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9540588.5232389402,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9547677.3851430248,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,9559358.1394025944,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,9560620.5452940091,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9575295.3492699228,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9649134.5232006442,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9652931.0711776726,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9682614.0927133374,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9687372.460205324,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9698109.3863988463,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,9702428.5781004131,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,9705238.2334760595,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9729057.9771494977,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9753635.7885526586,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9757444.9887478277,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9757712.339672571,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9761460.1647223569,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,9808510.8862057198,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9822402.6279119626,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,9823297.0427157283,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,9823297.0427157283,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,9829425.9482042249,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,9884712.4783094134,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9915239.2050691675,0.0
