但愿得令公令婆别无异见,2,但愿得令公令婆别无异见，
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,8524535.1259179655,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,8531483.9613051657,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,8531680.1189079527,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8542307.5723603815,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8561413.3135519046,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,8581531.6518583018,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8584066.9961027857,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8604014.654232705,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8605738.346204184,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8647271.0360573493,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,8664061.8158241063,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8681058.9487712961,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8697006.9451939408,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,8701535.9842728432,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8702796.2072892673,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8733988.2196316533,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,8737665.5696339998,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8763520.9682891928,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8765427.6302576344,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8777800.3858220242,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8780683.7525367104,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8831433.8447785806,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,8835878.935118299,0.18181818181818182
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8843591.9942248575,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8888375.417062819,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8922003.8593127709,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,8922954.3356654402,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8942182.7968166526,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9058532.1610046942,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9102610.2680218499,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,9118227.702272689,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,9118227.702272689,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9125760.727181403,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,9192013.9240308721,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9200490.5558754764,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9201548.7043112386,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9222805.213099217,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9241980.839541493,0.0
