也有饥寒悲怀抱,80,亦有饥寒悲怀抱，
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4710025.4945551427,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,4749167.4580959128,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4778480.5028479183,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,4779030.795189186,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,4791078.2654323326,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,4801830.7450882792,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4812114.9840565436,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4822363.128695434,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,4823569.3500740221,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4842418.7093193755,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4843695.7558859242,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4844802.2795845419,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4865463.9548790306,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,4875145.3453041427,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4876219.4147486733,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,4929876.1158016603,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4956475.0224336172,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,4958383.1520012142,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4968191.2849814575,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,4974400.8828255488,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4978350.1130153909,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4978350.1130153909,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,4979569.9493762078,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4986568.089559637,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4992537.8983469997,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,4994258.8404503511,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4996107.7505899426,0.0
